x,y,category,title
0.056286726,3.860558,general,Nazi swastika flag flown on Australian Defence vehicle in Afghanistan
-32.970722,-9.489243,general,The bizarre story of Australia's floating hotel — in North Korea
21.181509,-14.015239,general,"Mandatory English language classes, new test under consideration for migrants"
15.9060135,-16.942223,general,Leading economist warns of 'mini domestic financial crisis' as bank values plummet
-0.16438343,8.133789,general,"In the age of 'fake news', trust in the media has — wait for it — risen sharply"
-15.915646,7.8394017,general,Israel's use of lethal force 'could amount to war crime'
6.880588,13.636893,general,What being a person of colour in Salvini's Italy feels like
21.702076,-22.586487,technology,Fed-up AMA doctors overwhelmingly support gun restrictions in sweeping votes
-26.011473,11.401696,technology,"Comcast offers $65 billion for Fox, says government won’t stop merger"
-14.573057,17.500723,technology,Massive Martian dust storm has put Opportunity rover in a low-power sleep
-25.172316,9.472741,technology,Volkswagen Group will pay another $1.2 billion in Germany over diesel scandal
15.026896,12.585223,technology,Latest estimate shows how much Antarctic ice has fallen into the sea
4.1784654,-3.8673189,technology,The Joy of Sleeping: Bob Ross recordings recast as bedtime audio series
-5.539854,-0.049584042,technology,"Comcast disabled throttling system, proving data cap is just a money grab"
19.721966,21.816874,general,Saudi-led forces open assault on Yemen port city of Hodeida
-16.366663,-2.7718632,general,Trump claim raises eyebrows: NKorea no longer a nuke threat?
15.052271,12.741115,general,Antarctica's ice sheet is melting 3 times faster than before
-19.53275,-3.106015,general,Worker protections seen at risk in Trump health care shift
22.385693,-23.359417,general,Fed raises key rate and sees possible acceleration in hikes
-13.915318,37.68561,general,World Cup 2018: Football showpiece set to begin in Russia
-1.9005442,-6.325608,sports,England v Australia: Moeen Ali & Eoin Morgan impress as hosts edge win
-8.440349,35.870712,sports,2018 Fifa World Cup: Watch the BBC World Cup titles
2.579176,4.127522,sports,Aled Sion Davies fears para sport could take 'step back' in Dubai
5.0154147,2.9574306,sports,Gennady Golovkin v Saul 'Canelo' Alvarez: Rematch to take place on 15 September
-9.521295,36.107533,sports,This will get you in the mood for the World Cup - BBC Sport's World Cup 2018 opener
-11.3455515,34.273575,sports,World Cup 2030: England should have 'confidence' in bidding for tournament - Gill
-18.754974,3.4924572,business,Trump Says He May Upset China Over Trade Action in Coming Weeks
21.702564,-22.587112,business,Deputy Governor Leaves Bank of Canada for San Francisco Fed
7.8348603,-5.9217787,business,Cirque du Soleil Is Coming Soon to a Shopping Mall Near You
-11.959733,35.26151,business,"U.S., Canada, Mexico Unite Long Enough to Win 2026 World Cup Bid"
-14.025723,-0.38361526,business,GOP candidates are hitting the trail with an all-star cast of former Trump aides as his grip on the party is more intense than ever
-28.227184,11.568092,business,"Comcast makes $65 billion offer for 21st Century Fox assets as bidding war with Disney heats up (FOXA, CMCSA, DIS)"
-13.479044,2.301695,business,Trump's biggest nightmare in the Russia investigation may be about to come true
19.929102,-11.001693,business,"WeWork is looking to raise new funds at a $35 billion valuation, according to its major investor SoftBank"
20.40916,-4.727561,business,The world is running out of sand — and there's a black market for it now
-16.667347,6.510723,business,Trump's trade war is about to kick into high gear
1.962854,12.654881,business,This startup says it will beat Tesla to putting unmanned semi-trucks on the road: 'I don't think Tesla's in the race'
2.0515866,12.661112,business,Ex-Tesla employees who were laid off this week are surprisingly praising the automaker in LinkedIn posts
-17.094082,-4.201594,business,The Trump administration is reportedly considering housing migrant children in 'tent cities' near the border
32.88412,-13.301422,business,Theresa May wins key Brexit votes as Jeremy Corbyn suffers huge Labour rebellion
33.49457,-14.229271,business,Millionaire Brexit campaigner Arron Banks says Brexit is 'getting very tedious' and he might quit politics
-28.226814,11.565285,business,Comcast makes $65 billion offer for 21st Century Fox assets as bidding war with Disney heats up
-4.1252637,13.923641,business,Netflix hits an all-time high with help from a bullish Goldman Sachs
0.4677526,-8.437049,business,We tried a caffeine-free charcoal latte made with ground coconut shells
-17.940357,-0.86386627,business,"The Trump-Kim summit is over, but it's China's vision that emerged dominant"
-11.113151,38.779778,business,Iran's World Cup team is suddenly scrambling to find shoes to wear after Nike abruptly withdrew its supply
20.259338,-23.296505,business,"Treasury yields jump after the Fed hikes, signals 2 more increases this year"
-32.13509,-10.467792,entertainment,"Trump Said There Is ""No Longer A Nuclear Threat"" From North Korea With Absolutely No Evidence"
27.009916,-4.3524857,entertainment,Katy Perry Was The Artist Kesha Allegedly Accused Dr. Luke Of Raping In That Infamous Lady Gaga Text
8.643447,-2.0928335,entertainment,"Tell Us What You Would Do With A Trillion Dollars, And We'll Reveal What Your Royal Title Would Be"
-1.3812203,-0.5894777,entertainment,Can You Get Your Work Crush To Ask You Out?
5.6624236,0.63129544,entertainment,"19 Cake Decorators Who Should Be Very, Very, Very Ashamed"
-9.483931,-7.0756226,entertainment,Sophia Bush Said She Didn't Really Want To Marry Chad Michael Murray
-1.9119304,-5.6627755,entertainment,Rebel Wilson's $4.5 Million Defamation Win Has Been Slashed On Appeal
-6.1367564,-4.238803,entertainment,The Women In Toronto's Comedy Scene Aren't Going To Take It Anymore
13.907742,5.9626603,entertainment,15 Items Under $20 From Amazon That'll Help You Become More Eco-Friendly
-0.14437948,0.5068402,entertainment,Which Of Your BFFs Should Be Your Maid Of Honor?
-6.2923393,9.480455,business,"How Netflix sent the biggest media companies into a frenzy, and why Netflix thinks some are getting it wrong"
20.308372,-23.327265,business,"Fed hikes rates, points to two more increases by year's end"
22.933392,-23.898697,business,Fed's Powell: Some companies say they are holding back on investment due to Trump's trade conflicts
-5.4896336,-17.52914,business,UK government says it’s on the path to creating a tech giant to rival Google or Facebook
-5.898289,-20.077255,business,UK leader Theresa May says 'special relationship' with the US means there can also be disagreements
2.5119603,14.417017,business,Elon Musk just bought another $25 million in Tesla stock
21.75557,-23.277458,business,"Dow falls nearly 120 points after Fed hikes rates, points to more increases in 2018"
20.071487,-23.325016,business,Markets increase bets for fourth rate hike this year after Fed statement
